date,sku_id,units_sold,store_id,promotion_active,discount_percentage,weather_condition,temperature_c,category,unit_cost,selling_price,current_stock,reorder_point,lead_time_days,day_of_week,month,is_weekend,sales_lag_1,sales_lag_7,sales_lag_14,rolling_mean_7,rolling_std_7,predicted_demand,inventory_status,demand_type
2025-08-05,SKU_001,6,STORE_01,0,0,Stormy,28.4,Groceries,89.11,173.34,225,59,3,1,8,0,6.0,6.0,6.0,19.142857142857142,8.933617621631441,13.54,Overstock Risk,Regular Demand
2025-08-06,SKU_001,33,STORE_02,0,0,Clear,27.3,Groceries,89.11,173.34,225,59,3,2,8,0,6.0,6.0,6.0,19.142857142857142,8.933617621631441,27.45,Overstock Risk,Regular Demand
2025-08-07,SKU_001,20,STORE_02,0,0,Stormy,33.2,Groceries,89.11,173.34,225,59,3,3,8,0,33.0,6.0,6.0,19.142857142857142,8.933617621631441,19.04,Overstock Risk,Regular Demand
2025-08-08,SKU_001,23,STORE_01,0,0,Sunny,20.9,Groceries,89.11,173.34,225,59,3,4,8,0,20.0,6.0,6.0,19.142857142857142,8.933617621631441,21.71,Overstock Risk,Regular Demand
2025-08-09,SKU_001,19,STORE_02,0,0,Stormy,26.7,Groceries,89.11,173.34,225,59,3,5,8,1,23.0,6.0,6.0,19.142857142857142,8.933617621631441,19.98,Overstock Risk,Regular Demand
2025-08-10,SKU_001,23,STORE_03,0,0,Stormy,29.6,Groceries,89.11,173.34,225,59,3,6,8,1,19.0,6.0,6.0,19.142857142857142,8.933617621631441,22.9,Overstock Risk,Regular Demand
2025-08-11,SKU_001,10,STORE_02,0,0,Rainy,17.3,Groceries,89.11,173.34,225,59,3,0,8,0,23.0,6.0,6.0,19.142857142857142,8.933617621631441,14.59,Overstock Risk,Regular Demand
2025-08-12,SKU_001,21,STORE_02,0,0,Stormy,30.8,Groceries,89.11,173.34,225,59,3,1,8,0,10.0,6.0,6.0,19.142857142857142,8.933617621631441,19.64,Overstock Risk,Regular Demand
2025-08-13,SKU_001,5,STORE_02,0,0,Sunny,22.9,Groceries,89.11,173.34,225,59,3,2,8,0,21.0,33.0,6.0,21.285714285714285,6.799859942535232,8.89,Overstock Risk,Regular Demand
2025-08-14,SKU_001,12,STORE_02,0,0,Rainy,33.0,Groceries,89.11,173.34,225,59,3,3,8,0,5.0,20.0,6.0,17.285714285714285,6.993193970194299,14.11,Overstock Risk,Regular Demand
2025-08-15,SKU_001,24,STORE_02,1,20,Stormy,26.4,Groceries,89.11,173.34,225,59,3,4,8,0,12.0,23.0,6.0,16.142857142857142,7.12807995252044,20.69,Overstock Risk,Regular Demand
2025-08-16,SKU_001,39,STORE_03,0,0,Clear,20.7,Groceries,89.11,173.34,225,59,3,5,8,1,24.0,19.0,6.0,16.285714285714285,7.296444013222826,31.64,Overstock Risk,Temporary Demand Spike
2025-08-17,SKU_001,18,STORE_02,0,0,Rainy,17.3,Groceries,89.11,173.34,225,59,3,6,8,1,39.0,23.0,6.0,19.142857142857142,11.334733807028307,22.01,Overstock Risk,Regular Demand
2025-08-18,SKU_001,27,STORE_02,0,0,Sunny,26.2,Groceries,89.11,173.34,225,59,3,0,8,0,18.0,10.0,6.0,18.428571428571427,11.207990347026875,24.17,Overstock Risk,Regular Demand
2025-08-19,SKU_001,3,STORE_01,0,0,Sunny,27.4,Groceries,89.11,173.34,225,59,3,1,8,0,27.0,21.0,6.0,20.857142857142858,10.915257997081753,11.1,Overstock Risk,Regular Demand
2025-08-20,SKU_001,23,STORE_02,0,0,Sunny,17.1,Groceries,89.11,173.34,225,59,3,2,8,0,3.0,5.0,33.0,18.285714285714285,12.828539611796373,21.08,Overstock Risk,Regular Demand
2025-08-21,SKU_001,11,STORE_03,0,0,Clear,22.8,Groceries,89.11,173.34,225,59,3,3,8,0,23.0,12.0,20.0,20.857142857142858,11.451762185046332,14.08,Overstock Risk,Regular Demand
2025-08-22,SKU_001,19,STORE_03,0,0,Rainy,25.0,Groceries,89.11,173.34,225,59,3,4,8,0,11.0,24.0,23.0,20.714285714285715,11.58611648647187,19.41,Overstock Risk,Regular Demand
2025-08-23,SKU_001,24,STORE_03,0,0,Clear,18.9,Groceries,89.11,173.34,225,59,3,5,8,1,19.0,39.0,19.0,20.0,11.503622617824933,22.75,Overstock Risk,Regular Demand
2025-08-24,SKU_001,26,STORE_03,0,0,Rainy,31.3,Groceries,89.11,173.34,225,59,3,6,8,1,24.0,18.0,23.0,17.857142857142858,8.335237877600765,24.91,Overstock Risk,Regular Demand
2025-08-25,SKU_001,19,STORE_01,0,0,Clear,20.7,Groceries,89.11,173.34,225,59,3,0,8,0,26.0,27.0,10.0,19.0,8.88819441731559,20.0,Overstock Risk,Regular Demand
2025-08-26,SKU_001,5,STORE_01,0,0,Clear,29.3,Groceries,89.11,173.34,225,59,3,1,8,0,19.0,3.0,21.0,17.857142857142858,8.173709305420877,12.45,Overstock Risk,Regular Demand
2025-08-27,SKU_001,4,STORE_01,0,0,Rainy,33.5,Groceries,89.11,173.34,225,59,3,2,8,0,5.0,23.0,5.0,18.142857142857142,7.581305327988743,7.71,Overstock Risk,Regular Demand
2025-08-28,SKU_001,24,STORE_01,0,0,Rainy,15.9,Groceries,89.11,173.34,225,59,3,3,8,0,4.0,11.0,12.0,15.428571428571429,8.847921466972588,23.45,Overstock Risk,Regular Demand
2025-08-29,SKU_001,74,STORE_01,0,0,Sunny,18.7,Groceries,89.11,173.34,225,59,3,4,8,0,24.0,19.0,24.0,17.285714285714285,9.123491395189417,53.83,Overstock Risk,Temporary Demand Spike
2025-08-30,SKU_001,34,STORE_02,0,0,Rainy,20.1,Groceries,89.11,173.34,225,59,3,5,8,1,74.0,24.0,39.0,25.142857142857142,23.383958685593072,33.43,Overstock Risk,Regular Demand
2025-08-31,SKU_001,36,STORE_01,0,0,Stormy,17.2,Groceries,89.11,173.34,225,59,3,6,8,1,34.0,26.0,18.0,26.571428571428573,23.60689971778832,30.91,Overstock Risk,Regular Demand
2025-09-01,SKU_001,14,STORE_02,0,0,Clear,26.3,Groceries,89.11,173.34,225,59,3,0,9,0,36.0,19.0,27.0,28.0,23.86769085325739,20.1,Overstock Risk,Regular Demand
2025-09-02,SKU_001,24,STORE_03,0,0,Sunny,18.4,Groceries,89.11,173.34,225,59,3,1,9,0,14.0,5.0,3.0,27.285714285714285,24.25362025014194,22.61,Overstock Risk,Regular Demand
2025-09-03,SKU_001,28,STORE_01,0,0,Rainy,20.3,Groceries,89.11,173.34,225,59,3,2,9,0,24.0,4.0,23.0,30.0,22.330845632592297,25.32,Overstock Risk,Regular Demand
2025-09-04,SKU_001,2,STORE_03,0,0,Rainy,24.8,Groceries,89.11,173.34,225,59,3,3,9,0,28.0,24.0,11.0,33.42857142857143,19.311975066066665,10.0,Overstock Risk,Regular Demand
2025-09-05,SKU_001,16,STORE_02,0,0,Sunny,16.7,Groceries,89.11,173.34,225,59,3,4,9,0,2.0,74.0,19.0,30.285714285714285,22.61057485421578,18.12,Overstock Risk,Regular Demand
2025-09-06,SKU_001,34,STORE_01,0,0,Stormy,29.7,Groceries,89.11,173.34,225,59,3,5,9,1,16.0,34.0,24.0,22.0,12.110601416389963,29.97,Overstock Risk,Regular Demand
2025-09-07,SKU_001,28,STORE_01,0,0,Sunny,25.2,Groceries,89.11,173.34,225,59,3,6,9,1,34.0,36.0,26.0,22.0,12.110601416389963,25.5,Overstock Risk,Regular Demand
2025-09-08,SKU_001,24,STORE_02,1,20,Sunny,17.0,Groceries,89.11,173.34,225,59,3,0,9,0,28.0,14.0,19.0,20.857142857142858,10.88467686595199,18.99,Overstock Risk,Regular Demand
2025-09-09,SKU_001,25,STORE_01,0,0,Stormy,33.5,Groceries,89.11,173.34,225,59,3,1,9,0,24.0,24.0,5.0,22.285714285714285,10.483547200483327,21.97,Overstock Risk,Regular Demand
2025-09-10,SKU_001,10,STORE_01,1,20,Stormy,31.1,Groceries,89.11,173.34,225,59,3,2,9,0,25.0,28.0,4.0,22.428571428571427,10.517559014288798,12.71,Overstock Risk,Regular Demand
2025-09-11,SKU_001,17,STORE_01,1,30,Sunny,23.5,Groceries,89.11,173.34,225,59,3,3,9,0,10.0,2.0,24.0,19.857142857142858,11.11198409268977,18.7,Overstock Risk,Regular Demand
2025-09-12,SKU_001,43,STORE_02,0,0,Stormy,17.8,Groceries,89.11,173.34,225,59,3,4,9,0,17.0,16.0,74.0,22.0,8.144527815247075,33.35,Overstock Risk,Temporary Demand Spike
2025-09-13,SKU_001,8,STORE_02,1,10,Stormy,28.9,Groceries,89.11,173.34,225,59,3,5,9,1,43.0,34.0,34.0,25.857142857142858,10.792413561210038,14.15,Overstock Risk,Regular Demand
