date,sku_id,units_sold,store_id,promotion_active,discount_percentage,weather_condition,temperature_c,category,unit_cost,selling_price,current_stock,reorder_point,lead_time_days
2025-08-05,SKU_001,6,STORE_01,0,0,Stormy,28.4,Groceries,89.11,173.34,225,59,3
2025-08-05,SKU_002,23,STORE_01,0,0,Stormy,28.4,Groceries,93.67,139.52,92,48,10
2025-08-05,SKU_003,4,STORE_01,0,0,Stormy,28.4,Apparel,76.77,144.31,39,57,13
2025-08-05,SKU_004,9,STORE_01,0,0,Stormy,28.4,Apparel,50.71,93.58,178,31,14
2025-08-05,SKU_005,8,STORE_03,0,0,Stormy,28.4,Home & Kitchen,144.78,283.08,13,91,9
2025-08-05,SKU_006,23,STORE_01,0,0,Stormy,28.4,Home & Kitchen,34.27,61.62,116,37,13
2025-08-05,SKU_007,10,STORE_03,0,0,Stormy,28.4,Groceries,63.35,111.77,59,50,13
2025-08-05,SKU_008,27,STORE_03,0,0,Stormy,28.4,Apparel,77.29,104.6,103,100,13
2025-08-05,SKU_009,9,STORE_03,0,0,Stormy,28.4,Electronics,13.65,22.2,97,26,5
2025-08-05,SKU_010,19,STORE_03,0,0,Stormy,28.4,Apparel,54.66,105.41,220,66,9
2025-08-05,SKU_011,2,STORE_03,0,0,Stormy,28.4,Home & Kitchen,41.13,78.19,257,73,13
2025-08-05,SKU_012,22,STORE_01,0,0,Stormy,28.4,Home & Kitchen,138.43,215.85,73,53,5
2025-08-05,SKU_013,12,STORE_01,0,0,Stormy,28.4,Groceries,63.38,95.43,292,53,8
2025-08-05,SKU_014,21,STORE_02,0,0,Stormy,28.4,Groceries,114.03,157.27,120,69,7
2025-08-05,SKU_015,24,STORE_02,0,0,Stormy,28.4,Home & Kitchen,28.9,40.43,190,49,3
2025-08-05,SKU_016,10,STORE_03,0,0,Stormy,28.4,Home & Kitchen,66.47,120.94,211,98,3
2025-08-05,SKU_017,19,STORE_02,0,0,Stormy,28.4,Electronics,97.91,176.78,209,72,3
2025-08-05,SKU_018,27,STORE_02,0,0,Stormy,28.4,Groceries,129.16,218.5,226,56,14
2025-08-05,SKU_019,17,STORE_03,0,0,Stormy,28.4,Apparel,107.94,154.53,202,92,8
2025-08-05,SKU_020,12,STORE_03,0,0,Stormy,28.4,Apparel,91.87,157.08,203,69,8
2025-08-06,SKU_001,33,STORE_02,0,0,Clear,27.3,Groceries,89.11,173.34,225,59,3
2025-08-06,SKU_002,15,STORE_02,0,0,Clear,27.3,Groceries,93.67,139.52,92,48,10
2025-08-06,SKU_003,17,STORE_02,0,0,Clear,27.3,Apparel,76.77,144.31,39,57,13
2025-08-06,SKU_004,28,STORE_01,0,0,Clear,27.3,Apparel,50.71,93.58,178,31,14
2025-08-06,SKU_005,47,STORE_03,0,0,Clear,27.3,Home & Kitchen,144.78,283.08,13,91,9
2025-08-06,SKU_006,31,STORE_03,0,0,Clear,27.3,Home & Kitchen,34.27,61.62,116,37,13
2025-08-06,SKU_007,5,STORE_03,0,0,Clear,27.3,Groceries,63.35,111.77,59,50,13
2025-08-06,SKU_008,83,STORE_02,0,0,Clear,27.3,Apparel,77.29,104.6,103,100,13
2025-08-06,SKU_009,16,STORE_01,0,0,Clear,27.3,Electronics,13.65,22.2,97,26,5
2025-08-06,SKU_010,18,STORE_01,0,0,Clear,27.3,Apparel,54.66,105.41,220,66,9
2025-08-06,SKU_011,5,STORE_02,0,0,Clear,27.3,Home & Kitchen,41.13,78.19,257,73,13
2025-08-06,SKU_012,32,STORE_01,0,0,Clear,27.3,Home & Kitchen,138.43,215.85,73,53,5
2025-08-06,SKU_013,6,STORE_02,0,0,Clear,27.3,Groceries,63.38,95.43,292,53,8
2025-08-06,SKU_014,16,STORE_02,0,0,Clear,27.3,Groceries,114.03,157.27,120,69,7
2025-08-06,SKU_015,28,STORE_03,0,0,Clear,27.3,Home & Kitchen,28.9,40.43,190,49,3
2025-08-06,SKU_016,15,STORE_02,0,0,Clear,27.3,Home & Kitchen,66.47,120.94,211,98,3
2025-08-06,SKU_017,22,STORE_01,0,0,Clear,27.3,Electronics,97.91,176.78,209,72,3
2025-08-06,SKU_018,8,STORE_03,0,0,Clear,27.3,Groceries,129.16,218.5,226,56,14
2025-08-06,SKU_019,5,STORE_03,0,0,Clear,27.3,Apparel,107.94,154.53,202,92,8
2025-08-06,SKU_020,20,STORE_03,0,0,Clear,27.3,Apparel,91.87,157.08,203,69,8
2025-08-07,SKU_001,20,STORE_02,0,0,Stormy,33.2,Groceries,89.11,173.34,225,59,3
2025-08-07,SKU_002,27,STORE_01,0,0,Stormy,33.2,Groceries,93.67,139.52,92,48,10
2025-08-07,SKU_003,11,STORE_01,0,0,Stormy,33.2,Apparel,76.77,144.31,39,57,13
2025-08-07,SKU_004,25,STORE_01,0,0,Stormy,33.2,Apparel,50.71,93.58,178,31,14
2025-08-07,SKU_005,5,STORE_01,0,0,Stormy,33.2,Home & Kitchen,144.78,283.08,13,91,9
2025-08-07,SKU_006,10,STORE_03,0,0,Stormy,33.2,Home & Kitchen,34.27,61.62,116,37,13
2025-08-07,SKU_007,5,STORE_02,0,0,Stormy,33.2,Groceries,63.35,111.77,59,50,13
2025-08-07,SKU_008,20,STORE_03,0,0,Stormy,33.2,Apparel,77.29,104.6,103,100,13
2025-08-07,SKU_009,24,STORE_03,0,0,Stormy,33.2,Electronics,13.65,22.2,97,26,5
2025-08-07,SKU_010,31,STORE_02,0,0,Stormy,33.2,Apparel,54.66,105.41,220,66,9
2025-08-07,SKU_011,10,STORE_01,0,0,Stormy,33.2,Home & Kitchen,41.13,78.19,257,73,13
2025-08-07,SKU_012,21,STORE_03,0,0,Stormy,33.2,Home & Kitchen,138.43,215.85,73,53,5
2025-08-07,SKU_013,25,STORE_02,0,0,Stormy,33.2,Groceries,63.38,95.43,292,53,8
2025-08-07,SKU_014,22,STORE_01,0,0,Stormy,33.2,Groceries,114.03,157.27,120,69,7
2025-08-07,SKU_015,28,STORE_03,0,0,Stormy,33.2,Home & Kitchen,28.9,40.43,190,49,3
2025-08-07,SKU_016,23,STORE_02,0,0,Stormy,33.2,Home & Kitchen,66.47,120.94,211,98,3
2025-08-07,SKU_017,7,STORE_03,0,0,Stormy,33.2,Electronics,97.91,176.78,209,72,3
2025-08-07,SKU_018,12,STORE_01,0,0,Stormy,33.2,Groceries,129.16,218.5,226,56,14
2025-08-07,SKU_019,27,STORE_02,0,0,Stormy,33.2,Apparel,107.94,154.53,202,92,8
2025-08-07,SKU_020,11,STORE_03,0,0,Stormy,33.2,Apparel,91.87,157.08,203,69,8
2025-08-08,SKU_001,23,STORE_01,0,0,Sunny,20.9,Groceries,89.11,173.34,225,59,3
2025-08-08,SKU_002,3,STORE_01,0,0,Sunny,20.9,Groceries,93.67,139.52,92,48,10
2025-08-08,SKU_003,13,STORE_03,0,0,Sunny,20.9,Apparel,76.77,144.31,39,57,13
2025-08-08,SKU_004,11,STORE_03,0,0,Sunny,20.9,Apparel,50.71,93.58,178,31,14
2025-08-08,SKU_005,14,STORE_03,0,0,Sunny,20.9,Home & Kitchen,144.78,283.08,13,91,9
2025-08-08,SKU_006,3,STORE_03,0,0,Sunny,20.9,Home & Kitchen,34.27,61.62,116,37,13
2025-08-08,SKU_007,9,STORE_01,0,0,Sunny,20.9,Groceries,63.35,111.77,59,50,13
2025-08-08,SKU_008,29,STORE_03,0,0,Sunny,20.9,Apparel,77.29,104.6,103,100,13
2025-08-08,SKU_009,26,STORE_03,0,0,Sunny,20.9,Electronics,13.65,22.2,97,26,5
2025-08-08,SKU_010,24,STORE_02,0,0,Sunny,20.9,Apparel,54.66,105.41,220,66,9
2025-08-08,SKU_011,18,STORE_02,0,0,Sunny,20.9,Home & Kitchen,41.13,78.19,257,73,13
2025-08-08,SKU_012,15,STORE_03,0,0,Sunny,20.9,Home & Kitchen,138.43,215.85,73,53,5
2025-08-08,SKU_013,23,STORE_01,0,0,Sunny,20.9,Groceries,63.38,95.43,292,53,8
2025-08-08,SKU_014,2,STORE_01,0,0,Sunny,20.9,Groceries,114.03,157.27,120,69,7
2025-08-08,SKU_015,15,STORE_02,0,0,Sunny,20.9,Home & Kitchen,28.9,40.43,190,49,3
2025-08-08,SKU_016,72,STORE_01,0,0,Sunny,20.9,Home & Kitchen,66.47,120.94,211,98,3
2025-08-08,SKU_017,35,STORE_02,0,0,Sunny,20.9,Electronics,97.91,176.78,209,72,3
2025-08-08,SKU_018,25,STORE_01,0,0,Sunny,20.9,Groceries,129.16,218.5,226,56,14
2025-08-08,SKU_019,21,STORE_02,0,0,Sunny,20.9,Apparel,107.94,154.53,202,92,8
2025-08-08,SKU_020,31,STORE_03,0,0,Sunny,20.9,Apparel,91.87,157.08,203,69,8
2025-08-09,SKU_001,19,STORE_02,0,0,Stormy,26.7,Groceries,89.11,173.34,225,59,3
2025-08-09,SKU_002,28,STORE_02,0,0,Stormy,26.7,Groceries,93.67,139.52,92,48,10
2025-08-09,SKU_003,13,STORE_01,0,0,Stormy,26.7,Apparel,76.77,144.31,39,57,13
2025-08-09,SKU_004,38,STORE_03,0,0,Stormy,26.7,Apparel,50.71,93.58,178,31,14
2025-08-09,SKU_005,19,STORE_03,0,0,Stormy,26.7,Home & Kitchen,144.78,283.08,13,91,9
2025-08-09,SKU_006,20,STORE_03,0,0,Stormy,26.7,Home & Kitchen,34.27,61.62,116,37,13
2025-08-09,SKU_007,14,STORE_01,0,0,Stormy,26.7,Groceries,63.35,111.77,59,50,13
2025-08-09,SKU_008,80,STORE_03,0,0,Stormy,26.7,Apparel,77.29,104.6,103,100,13
2025-08-09,SKU_009,3,STORE_02,0,0,Stormy,26.7,Electronics,13.65,22.2,97,26,5
2025-08-09,SKU_010,19,STORE_02,0,0,Stormy,26.7,Apparel,54.66,105.41,220,66,9
2025-08-09,SKU_011,14,STORE_03,0,0,Stormy,26.7,Home & Kitchen,41.13,78.19,257,73,13
2025-08-09,SKU_012,15,STORE_03,0,0,Stormy,26.7,Home & Kitchen,138.43,215.85,73,53,5
2025-08-09,SKU_013,31,STORE_02,0,0,Stormy,26.7,Groceries,63.38,95.43,292,53,8
2025-08-09,SKU_014,15,STORE_02,0,0,Stormy,26.7,Groceries,114.03,157.27,120,69,7
2025-08-09,SKU_015,34,STORE_01,0,0,Stormy,26.7,Home & Kitchen,28.9,40.43,190,49,3
2025-08-09,SKU_016,40,STORE_02,0,0,Stormy,26.7,Home & Kitchen,66.47,120.94,211,98,3
2025-08-09,SKU_017,15,STORE_02,0,0,Stormy,26.7,Electronics,97.91,176.78,209,72,3
2025-08-09,SKU_018,17,STORE_03,0,0,Stormy,26.7,Groceries,129.16,218.5,226,56,14
2025-08-09,SKU_019,12,STORE_02,0,0,Stormy,26.7,Apparel,107.94,154.53,202,92,8
2025-08-09,SKU_020,36,STORE_01,0,0,Stormy,26.7,Apparel,91.87,157.08,203,69,8
2025-08-10,SKU_001,23,STORE_03,0,0,Stormy,29.6,Groceries,89.11,173.34,225,59,3
2025-08-10,SKU_002,17,STORE_03,0,0,Stormy,29.6,Groceries,93.67,139.52,92,48,10
2025-08-10,SKU_003,39,STORE_02,0,0,Stormy,29.6,Apparel,76.77,144.31,39,57,13
2025-08-10,SKU_004,41,STORE_01,0,0,Stormy,29.6,Apparel,50.71,93.58,178,31,14
2025-08-10,SKU_005,23,STORE_01,0,0,Stormy,29.6,Home & Kitchen,144.78,283.08,13,91,9
2025-08-10,SKU_006,23,STORE_01,0,0,Stormy,29.6,Home & Kitchen,34.27,61.62,116,37,13
2025-08-10,SKU_007,43,STORE_01,0,0,Stormy,29.6,Groceries,63.35,111.77,59,50,13
