date,promotion_active,discount_percentage,weather_condition,temperature_c
2025-08-05,0,0,Stormy,28.4
2025-08-06,0,0,Clear,27.3
2025-08-07,0,0,Stormy,33.2
2025-08-08,0,0,Sunny,20.9
2025-08-09,0,0,Stormy,26.7
2025-08-10,0,0,Stormy,29.6
2025-08-11,0,0,Rainy,17.3
2025-08-12,0,0,Stormy,30.8
2025-08-13,0,0,Sunny,22.9
2025-08-14,0,0,Rainy,33.0
2025-08-15,1,20,Stormy,26.4
2025-08-16,0,0,Clear,20.7
2025-08-17,0,0,Rainy,17.3
2025-08-18,0,0,Sunny,26.2
2025-08-19,0,0,Sunny,27.4
2025-08-20,0,0,Sunny,17.1
2025-08-21,0,0,Clear,22.8
2025-08-22,0,0,Rainy,25.0
2025-08-23,0,0,Clear,18.9
2025-08-24,0,0,Rainy,31.3
2025-08-25,0,0,Clear,20.7
2025-08-26,0,0,Clear,29.3
2025-08-27,0,0,Rainy,33.5
2025-08-28,0,0,Rainy,15.9
2025-08-29,0,0,Sunny,18.7
2025-08-30,0,0,Rainy,20.1
2025-08-31,0,0,Stormy,17.2
2025-09-01,0,0,Clear,26.3
2025-09-02,0,0,Sunny,18.4
2025-09-03,0,0,Rainy,20.3
2025-09-04,0,0,Rainy,24.8
2025-09-05,0,0,Sunny,16.7
2025-09-06,0,0,Stormy,29.7
2025-09-07,0,0,Sunny,25.2
2025-09-08,1,20,Sunny,17.0
2025-09-09,0,0,Stormy,33.5
2025-09-10,1,20,Stormy,31.1
2025-09-11,1,30,Sunny,23.5
2025-09-12,0,0,Stormy,17.8
2025-09-13,1,10,Stormy,28.9
2025-09-14,0,0,Stormy,20.1
2025-09-15,0,0,Stormy,32.4
2025-09-16,0,0,Clear,19.0
2025-09-17,0,0,Clear,15.1
2025-09-18,1,10,Rainy,22.0
2025-09-19,0,0,Sunny,24.7
2025-09-20,0,0,Stormy,19.4
2025-09-21,0,0,Stormy,28.3
2025-09-22,0,0,Clear,31.2
2025-09-23,0,0,Rainy,18.9
